Customer_ID,Tenure_Months,Plan,Region,Monthly_Charge,Support_Tickets,Satisfaction,Churned
CUS-2098,20,Plus,South,94,2,2,No
CUS-2099,27,Premium,Central,105,0,5,No
CUS-2100,34,Basic,East,116,5,3,No
CUS-2101,41,Plus,West,127,3,1,No
CUS-2102,48,Premium,South,46,1,4,No
CUS-2103,55,Basic,Central,57,6,2,Yes
CUS-2104,2,Plus,East,68,4,5,Yes
CUS-2105,9,Premium,West,79,2,3,No
CUS-2106,16,Basic,South,90,0,1,Yes
CUS-2107,23,Plus,Central,101,5,4,No
CUS-2108,30,Premium,East,112,3,2,No
CUS-2109,37,Basic,West,123,1,5,No
CUS-2110,44,Plus,South,42,6,3,No
CUS-2111,51,Premium,Central,53,4,1,No
CUS-2112,58,Basic,East,64,2,4,No
CUS-2113,5,Plus,West,75,0,2,No
CUS-2114,12,Premium,South,86,5,5,No
CUS-2115,19,Basic,Central,97,3,3,No
CUS-2116,26,Plus,East,108,1,1,No
CUS-2117,33,Premium,West,119,6,4,No
CUS-2118,40,Basic,South,130,4,2,Yes
CUS-2119,47,Plus,Central,49,2,5,No
CUS-2120,54,Premium,East,60,0,3,No
CUS-2121,1,Basic,West,71,5,1,Yes
CUS-2122,8,Plus,South,82,3,4,No
CUS-2123,15,Premium,Central,93,1,2,No
CUS-2124,22,Basic,East,104,6,5,No
CUS-2125,29,Plus,West,115,4,3,No
CUS-2126,36,Premium,South,126,2,1,No
CUS-2127,43,Basic,Central,45,0,4,No
CUS-2128,50,Plus,East,56,5,2,No
CUS-2129,57,Premium,West,67,3,5,No
CUS-2130,4,Basic,South,78,1,3,No
CUS-2131,11,Plus,Central,89,6,1,Yes
CUS-2132,18,Premium,East,100,4,4,No
CUS-2133,25,Basic,West,111,2,2,Yes
CUS-2134,32,Plus,South,122,0,5,No
CUS-2135,39,Premium,Central,41,5,3,No
CUS-2136,46,Basic,East,52,3,1,Yes
CUS-2137,53,Plus,West,63,1,4,No
CUS-2138,60,Premium,South,74,6,2,No
CUS-2139,7,Basic,Central,85,4,5,Yes
CUS-2140,14,Plus,East,96,2,3,No
CUS-2141,21,Premium,West,107,0,1,No
CUS-2142,28,Basic,South,118,5,4,No
CUS-2143,35,Plus,Central,129,3,2,No
CUS-2144,42,Premium,East,48,1,5,No
CUS-2145,49,Basic,West,59,6,3,No
CUS-2146,56,Plus,South,70,4,1,No
CUS-2147,3,Premium,Central,81,2,4,No
CUS-2148,10,Basic,East,92,0,2,Yes
CUS-2149,17,Plus,West,103,5,5,No
CUS-2150,24,Premium,South,114,3,3,No
CUS-2151,31,Basic,Central,125,1,1,Yes
CUS-2152,38,Plus,East,44,6,4,No
CUS-2153,45,Premium,West,55,4,2,No
CUS-2154,52,Basic,South,66,2,5,No
CUS-2155,59,Plus,Central,77,0,3,No
CUS-2156,6,Premium,East,88,5,1,Yes
CUS-2157,13,Basic,West,99,3,4,No
CUS-2158,20,Plus,South,110,1,2,No
CUS-2159,27,Premium,Central,121,6,5,No
CUS-2160,34,Basic,East,40,4,3,No
CUS-2161,41,Plus,West,51,2,1,No
CUS-2162,48,Premium,South,62,0,4,No
CUS-2163,55,Basic,Central,73,5,2,Yes
CUS-2164,2,Plus,East,84,3,5,No
CUS-2165,9,Premium,West,95,1,3,No
CUS-2166,16,Basic,South,106,6,1,Yes
CUS-2167,23,Plus,Central,117,4,4,No
CUS-2168,30,Premium,East,128,2,2,No
CUS-2169,37,Basic,West,47,0,5,No
CUS-2170,44,Plus,South,58,5,3,No
CUS-2171,51,Premium,Central,69,3,1,No
CUS-2172,58,Basic,East,80,1,4,No
CUS-2173,5,Plus,West,91,6,2,Yes
CUS-2174,12,Premium,South,102,4,5,No
CUS-2175,19,Basic,Central,113,2,3,No
CUS-2176,26,Plus,East,124,0,1,No
CUS-2177,33,Premium,West,43,5,4,No
CUS-2178,40,Basic,South,54,3,2,Yes
CUS-2179,47,Plus,Central,65,1,5,No
CUS-2180,54,Premium,East,76,6,3,No
