Ticket_ID,Month,Status,Service_Type,Region,Priority,Issue_Type,Response_Hours,Resolution_Hours,Customer_Rating,Channel,Technician
TS-8021,Sep,Resolved,Broadband,North,High,Dropped Calls,8.2,50,4.5,App,Tech 15
TS-8022,Oct,In Progress,Landline,South,Low,Billing Error,7.5,43.7,3.1,Retail,Tech 4
TS-8023,Nov,Open,TV,East,Medium,No Signal,8.799999999999999,45.4,4.2,Phone,Tech 11
TS-8024,Dec,Resolved,Mobile,West,High,Installation Delay,12.1,55.1,2.8,Web,Tech 18
TS-8025,Jan,In Progress,Broadband,North,Low,Slow Internet,11.399999999999999,48.8,3.9,App,Tech 7
TS-8026,Feb,Open,Landline,South,Medium,Service Outage,12.7,50.5,2.5,Retail,Tech 14
TS-8027,Mar,Resolved,TV,East,High,Dropped Calls,16,60.2,3.6,Phone,Tech 3
TS-8028,Apr,In Progress,Mobile,West,Low,Billing Error,15.299999999999999,53.9,4.7,Web,Tech 10
TS-8029,May,Open,Broadband,North,Medium,No Signal,16.6,55.6,3.3,App,Tech 17
TS-8030,Jun,Resolved,Landline,South,High,Installation Delay,19.9,65.3,4.4,Retail,Tech 6
TS-8031,Jul,In Progress,TV,East,Low,Slow Internet,19.2,59,3,Phone,Tech 13
TS-8032,Aug,Open,Mobile,West,Medium,Service Outage,20.5,60.7,4.1,Web,Tech 2
TS-8033,Sep,Resolved,Broadband,North,High,Dropped Calls,23.8,70.4,2.7,App,Tech 9
TS-8034,Oct,In Progress,Landline,South,Low,Billing Error,2.1,64.1,3.8,Retail,Tech 16
TS-8035,Nov,Open,TV,East,Medium,No Signal,3.4000000000000004,65.8,4.9,Phone,Tech 5
TS-8036,Dec,Resolved,Mobile,West,High,Installation Delay,6.7,75.5,3.5,Web,Tech 12
TS-8037,Jan,In Progress,Broadband,North,Low,Slow Internet,6,69.2,4.6,App,Tech 1
TS-8038,Feb,Open,Landline,South,Medium,Service Outage,7.3,70.9,3.2,Retail,Tech 8
TS-8039,Mar,Open,TV,East,High,Dropped Calls,10.6,80.6,4.3,Phone,Tech 15
TS-8040,Apr,Resolved,Mobile,West,Low,Billing Error,9.899999999999999,74.3,2.9,Web,Tech 4
TS-8041,May,In Progress,Broadband,North,Medium,No Signal,11.2,76,4,App,Tech 11
TS-8042,Jun,Open,Landline,South,High,Installation Delay,14.5,85.7,2.6,Retail,Tech 18
TS-8043,Jul,Resolved,TV,East,Low,Slow Internet,13.799999999999999,79.4,3.7,Phone,Tech 7
TS-8044,Aug,In Progress,Mobile,West,Medium,Service Outage,15.1,81.1,4.8,Web,Tech 14
TS-8045,Sep,Open,Broadband,North,High,Dropped Calls,18.4,90.8,3.4,App,Tech 3
TS-8046,Oct,Resolved,Landline,South,Low,Billing Error,17.7,84.5,4.5,Retail,Tech 10
TS-8047,Nov,In Progress,TV,East,Medium,No Signal,19,86.2,3.1,Phone,Tech 17
TS-8048,Dec,Open,Mobile,West,High,Installation Delay,22.3,95.9,4.2,Web,Tech 6
TS-8049,Jan,Resolved,Broadband,North,Low,Slow Internet,21.599999999999998,89.6,2.8,App,Tech 13
TS-8050,Feb,In Progress,Landline,South,Medium,Service Outage,1.9,91.3,3.9,Retail,Tech 2
TS-8051,Mar,Open,TV,East,High,Dropped Calls,5.2,101,2.5,Phone,Tech 9
TS-8052,Apr,Resolved,Mobile,West,Low,Billing Error,4.5,94.7,3.6,Web,Tech 16
TS-8053,May,In Progress,Broadband,North,Medium,No Signal,5.8,96.4,4.7,App,Tech 5
TS-8054,Jun,Open,Landline,South,High,Installation Delay,9.100000000000001,106.1,3.3,Retail,Tech 12
TS-8055,Jul,Resolved,TV,East,Low,Slow Internet,8.4,99.8,4.4,Phone,Tech 1
TS-8056,Aug,In Progress,Mobile,West,Medium,Service Outage,9.7,101.5,3,Web,Tech 8
TS-8057,Sep,Open,Broadband,North,High,Dropped Calls,13,111.2,4.1,App,Tech 15
TS-8058,Oct,Open,Landline,South,Low,Billing Error,12.299999999999999,8.9,2.7,Retail,Tech 4
TS-8059,Nov,Resolved,TV,East,Medium,No Signal,13.6,10.6,3.8,Phone,Tech 11
TS-8060,Dec,In Progress,Mobile,West,High,Installation Delay,16.9,20.3,4.9,Web,Tech 18
TS-8061,Jan,Open,Broadband,North,Low,Slow Internet,16.2,14,3.5,App,Tech 7
TS-8062,Feb,Resolved,Landline,South,Medium,Service Outage,17.5,15.7,4.6,Retail,Tech 14
TS-8063,Mar,In Progress,TV,East,High,Dropped Calls,20.8,25.4,3.2,Phone,Tech 3
TS-8064,Apr,Open,Mobile,West,Low,Billing Error,20.099999999999998,19.1,4.3,Web,Tech 10
TS-8065,May,Resolved,Broadband,North,Medium,No Signal,21.4,20.8,2.9,App,Tech 17
TS-8066,Jun,In Progress,Landline,South,High,Installation Delay,3.7,30.5,4,Retail,Tech 6
TS-8067,Jul,Open,TV,East,Low,Slow Internet,3,24.2,2.6,Phone,Tech 13
TS-8068,Aug,Resolved,Mobile,West,Medium,Service Outage,4.3,25.9,3.7,Web,Tech 2
TS-8069,Sep,In Progress,Broadband,North,High,Dropped Calls,7.6000000000000005,35.6,4.8,App,Tech 9
TS-8070,Oct,Open,Landline,South,Low,Billing Error,6.9,29.3,3.4,Retail,Tech 16
TS-8071,Nov,Resolved,TV,East,Medium,No Signal,8.2,31,4.5,Phone,Tech 5
TS-8072,Dec,In Progress,Mobile,West,High,Installation Delay,11.5,40.7,3.1,Web,Tech 12
TS-8073,Jan,Open,Broadband,North,Low,Slow Internet,10.799999999999999,34.4,4.2,App,Tech 1
TS-8074,Feb,Resolved,Landline,South,Medium,Service Outage,12.1,36.1,2.8,Retail,Tech 8
TS-8075,Mar,In Progress,TV,East,High,Dropped Calls,15.399999999999999,45.8,3.9,Phone,Tech 15
TS-8076,Apr,Open,Mobile,West,Low,Billing Error,14.7,39.5,2.5,Web,Tech 4
TS-8077,May,Open,Broadband,North,Medium,No Signal,16,41.2,3.6,App,Tech 11
TS-8078,Jun,Resolved,Landline,South,High,Installation Delay,19.3,50.9,4.7,Retail,Tech 18
TS-8079,Jul,In Progress,TV,East,Low,Slow Internet,18.599999999999998,44.6,3.3,Phone,Tech 7
TS-8080,Aug,Open,Mobile,West,Medium,Service Outage,19.9,46.3,4.4,Web,Tech 14
TS-8081,Sep,Resolved,Broadband,North,High,Dropped Calls,23.2,56,3,App,Tech 3
TS-8082,Oct,In Progress,Landline,South,Low,Billing Error,1.5,49.7,4.1,Retail,Tech 10
TS-8083,Nov,Open,TV,East,Medium,No Signal,2.8,51.4,2.7,Phone,Tech 17
TS-8084,Dec,Resolved,Mobile,West,High,Installation Delay,6.1,61.1,3.8,Web,Tech 6
TS-8085,Jan,In Progress,Broadband,North,Low,Slow Internet,5.4,54.8,4.9,App,Tech 13
TS-8086,Feb,Open,Landline,South,Medium,Service Outage,6.7,56.5,3.5,Retail,Tech 2
TS-8087,Mar,Resolved,TV,East,High,Dropped Calls,10,66.2,4.6,Phone,Tech 9
TS-8088,Apr,In Progress,Mobile,West,Low,Billing Error,9.299999999999999,59.9,3.2,Web,Tech 16
TS-8089,May,Open,Broadband,North,Medium,No Signal,10.6,61.6,4.3,App,Tech 5
TS-8090,Jun,Resolved,Landline,South,High,Installation Delay,13.899999999999999,71.3,2.9,Retail,Tech 12
TS-8091,Jul,In Progress,TV,East,Low,Slow Internet,13.2,65,4,Phone,Tech 1
TS-8092,Aug,Open,Mobile,West,Medium,Service Outage,14.5,66.7,2.6,Web,Tech 8
TS-8093,Sep,Resolved,Broadband,North,High,Dropped Calls,17.799999999999997,76.4,3.7,App,Tech 15
TS-8094,Oct,In Progress,Landline,South,Low,Billing Error,17.1,70.1,4.8,Retail,Tech 4
TS-8095,Nov,Open,TV,East,Medium,No Signal,18.4,71.8,3.4,Phone,Tech 11
TS-8096,Dec,Open,Mobile,West,High,Installation Delay,21.7,81.5,4.5,Web,Tech 18
TS-8097,Jan,Resolved,Broadband,North,Low,Slow Internet,21,75.2,3.1,App,Tech 7
TS-8098,Feb,In Progress,Landline,South,Medium,Service Outage,1.3,76.9,4.2,Retail,Tech 14
TS-8099,Mar,Open,TV,East,High,Dropped Calls,4.6,86.6,2.8,Phone,Tech 3
TS-8100,Apr,Resolved,Mobile,West,Low,Billing Error,3.9000000000000004,80.3,3.9,Web,Tech 10
TS-8101,May,In Progress,Broadband,North,Medium,No Signal,5.2,82,2.5,App,Tech 17
TS-8102,Jun,Open,Landline,South,High,Installation Delay,8.5,91.7,3.6,Retail,Tech 6
TS-8103,Jul,Resolved,TV,East,Low,Slow Internet,7.8,85.4,4.7,Phone,Tech 13
TS-8104,Aug,In Progress,Mobile,West,Medium,Service Outage,9.1,87.1,3.3,Web,Tech 2
TS-8105,Sep,Open,Broadband,North,High,Dropped Calls,12.399999999999999,96.8,4.4,App,Tech 9
TS-8106,Oct,Resolved,Landline,South,Low,Billing Error,11.7,90.5,3,Retail,Tech 16
TS-8107,Nov,In Progress,TV,East,Medium,No Signal,13,92.2,4.1,Phone,Tech 5
TS-8108,Dec,Open,Mobile,West,High,Installation Delay,16.299999999999997,101.9,2.7,Web,Tech 12
TS-8109,Jan,Resolved,Broadband,North,Low,Slow Internet,15.6,95.6,3.8,App,Tech 1
TS-8110,Feb,In Progress,Landline,South,Medium,Service Outage,16.9,97.3,4.9,Retail,Tech 8
TS-8111,Mar,Open,TV,East,High,Dropped Calls,20.2,107,3.5,Phone,Tech 15
TS-8112,Apr,Resolved,Mobile,West,Low,Billing Error,19.5,100.7,4.6,Web,Tech 4
TS-8113,May,In Progress,Broadband,North,Medium,No Signal,20.8,102.4,3.2,App,Tech 11
TS-8114,Jun,Open,Landline,South,High,Installation Delay,24.099999999999998,16.1,4.3,Retail,Tech 18
TS-8115,Jul,Open,TV,East,Low,Slow Internet,2.4,9.8,2.9,Phone,Tech 7
TS-8116,Aug,Resolved,Mobile,West,Medium,Service Outage,3.7,11.5,4,Web,Tech 14
TS-8117,Sep,In Progress,Broadband,North,High,Dropped Calls,7,21.2,2.6,App,Tech 3
TS-8118,Oct,Open,Landline,South,Low,Billing Error,6.3,14.9,3.7,Retail,Tech 10
TS-8119,Nov,Resolved,TV,East,Medium,No Signal,7.6000000000000005,16.6,4.8,Phone,Tech 17
TS-8120,Dec,In Progress,Mobile,West,High,Installation Delay,10.9,26.3,3.4,Web,Tech 6
TS-8121,Jan,Open,Broadband,North,Low,Slow Internet,10.2,20,4.5,App,Tech 13
TS-8122,Feb,Resolved,Landline,South,Medium,Service Outage,11.5,21.7,3.1,Retail,Tech 2
TS-8123,Mar,In Progress,TV,East,High,Dropped Calls,14.799999999999999,31.4,4.2,Phone,Tech 9
TS-8124,Apr,Open,Mobile,West,Low,Billing Error,14.1,25.1,2.8,Web,Tech 16
TS-8125,May,Resolved,Broadband,North,Medium,No Signal,15.399999999999999,26.8,3.9,App,Tech 5
TS-8126,Jun,In Progress,Landline,South,High,Installation Delay,18.7,36.5,2.5,Retail,Tech 12
TS-8127,Jul,Open,TV,East,Low,Slow Internet,18,30.2,3.6,Phone,Tech 1
TS-8128,Aug,Resolved,Mobile,West,Medium,Service Outage,19.3,31.9,4.7,Web,Tech 8
TS-8129,Sep,In Progress,Broadband,North,High,Dropped Calls,22.599999999999998,41.6,3.3,App,Tech 15
TS-8130,Oct,Open,Landline,South,Low,Billing Error,21.9,35.3,4.4,Retail,Tech 4
TS-8131,Nov,Resolved,TV,East,Medium,No Signal,2.2,37,3,Phone,Tech 11
TS-8132,Dec,In Progress,Mobile,West,High,Installation Delay,5.5,46.7,4.1,Web,Tech 18
TS-8133,Jan,Open,Broadband,North,Low,Slow Internet,4.8,40.4,2.7,App,Tech 7
TS-8134,Feb,Open,Landline,South,Medium,Service Outage,6.1000000000000005,42.1,3.8,Retail,Tech 14
TS-8135,Mar,Resolved,TV,East,High,Dropped Calls,9.4,51.8,4.9,Phone,Tech 3
TS-8136,Apr,In Progress,Mobile,West,Low,Billing Error,8.7,45.5,3.5,Web,Tech 10
TS-8137,May,Open,Broadband,North,Medium,No Signal,10,47.2,4.6,App,Tech 17
TS-8138,Jun,Resolved,Landline,South,High,Installation Delay,13.299999999999999,56.9,3.2,Retail,Tech 6
TS-8139,Jul,In Progress,TV,East,Low,Slow Internet,12.6,50.6,4.3,Phone,Tech 13
TS-8140,Aug,Open,Mobile,West,Medium,Service Outage,13.899999999999999,52.3,2.9,Web,Tech 2
TS-8141,Sep,Resolved,Broadband,North,High,Dropped Calls,17.2,62,4,App,Tech 9
TS-8142,Oct,In Progress,Landline,South,Low,Billing Error,16.5,55.7,2.6,Retail,Tech 16
TS-8143,Nov,Open,TV,East,Medium,No Signal,17.8,57.4,3.7,Phone,Tech 5
TS-8144,Dec,Resolved,Mobile,West,High,Installation Delay,21.099999999999998,67.1,4.8,Web,Tech 12
TS-8145,Jan,In Progress,Broadband,North,Low,Slow Internet,20.4,60.8,3.4,App,Tech 1
TS-8146,Feb,Open,Landline,South,Medium,Service Outage,21.7,62.5,4.5,Retail,Tech 8
TS-8147,Mar,Resolved,TV,East,High,Dropped Calls,4,72.2,3.1,Phone,Tech 15
TS-8148,Apr,In Progress,Mobile,West,Low,Billing Error,3.3,65.9,4.2,Web,Tech 4
TS-8149,May,Open,Broadband,North,Medium,No Signal,4.6,67.6,2.8,App,Tech 11
TS-8150,Jun,Resolved,Landline,South,High,Installation Delay,7.9,77.3,3.9,Retail,Tech 18
TS-8151,Jul,In Progress,TV,East,Low,Slow Internet,7.2,71,2.5,Phone,Tech 7
TS-8152,Aug,Open,Mobile,West,Medium,Service Outage,8.5,72.7,3.6,Web,Tech 14
TS-8153,Sep,Open,Broadband,North,High,Dropped Calls,11.799999999999999,82.4,4.7,App,Tech 3
TS-8154,Oct,Resolved,Landline,South,Low,Billing Error,11.1,76.1,3.3,Retail,Tech 10
TS-8155,Nov,In Progress,TV,East,Medium,No Signal,12.399999999999999,77.8,4.4,Phone,Tech 17
TS-8156,Dec,Open,Mobile,West,High,Installation Delay,15.7,87.5,3,Web,Tech 6
TS-8157,Jan,Resolved,Broadband,North,Low,Slow Internet,15,81.2,4.1,App,Tech 13
TS-8158,Feb,In Progress,Landline,South,Medium,Service Outage,16.3,82.9,2.7,Retail,Tech 2
TS-8159,Mar,Open,TV,East,High,Dropped Calls,19.599999999999998,92.6,3.8,Phone,Tech 9
TS-8160,Apr,Resolved,Mobile,West,Low,Billing Error,18.9,86.3,4.9,Web,Tech 16
TS-8161,May,In Progress,Broadband,North,Medium,No Signal,20.2,88,3.5,App,Tech 5
TS-8162,Jun,Open,Landline,South,High,Installation Delay,23.5,97.7,4.6,Retail,Tech 12
TS-8163,Jul,Resolved,TV,East,Low,Slow Internet,1.7999999999999998,91.4,3.2,Phone,Tech 1
TS-8164,Aug,In Progress,Mobile,West,Medium,Service Outage,3.0999999999999996,93.1,4.3,Web,Tech 8
TS-8165,Sep,Open,Broadband,North,High,Dropped Calls,6.4,102.8,2.9,App,Tech 15
TS-8166,Oct,Resolved,Landline,South,Low,Billing Error,5.7,96.5,4,Retail,Tech 4
TS-8167,Nov,In Progress,TV,East,Medium,No Signal,7,98.2,2.6,Phone,Tech 11
TS-8168,Dec,Open,Mobile,West,High,Installation Delay,10.299999999999999,107.9,3.7,Web,Tech 18
TS-8169,Jan,Resolved,Broadband,North,Low,Slow Internet,9.6,101.6,4.8,App,Tech 7
TS-8170,Feb,In Progress,Landline,South,Medium,Service Outage,10.899999999999999,103.3,3.4,Retail,Tech 14
TS-8171,Mar,Open,TV,East,High,Dropped Calls,14.2,17,4.5,Phone,Tech 3
TS-8172,Apr,Open,Mobile,West,Low,Billing Error,13.5,10.7,3.1,Web,Tech 10
TS-8173,May,Resolved,Broadband,North,Medium,No Signal,14.799999999999999,12.4,4.2,App,Tech 17
TS-8174,Jun,In Progress,Landline,South,High,Installation Delay,18.1,22.1,2.8,Retail,Tech 6
TS-8175,Jul,Open,TV,East,Low,Slow Internet,17.4,15.8,3.9,Phone,Tech 13
TS-8176,Aug,Resolved,Mobile,West,Medium,Service Outage,18.7,17.5,2.5,Web,Tech 2
TS-8177,Sep,In Progress,Broadband,North,High,Dropped Calls,22,27.2,3.6,App,Tech 9
TS-8178,Oct,Open,Landline,South,Low,Billing Error,21.3,20.9,4.7,Retail,Tech 16
TS-8179,Nov,Resolved,TV,East,Medium,No Signal,1.6,22.6,3.3,Phone,Tech 5
TS-8180,Dec,In Progress,Mobile,West,High,Installation Delay,4.9,32.3,4.4,Web,Tech 12
TS-8181,Jan,Open,Broadband,North,Low,Slow Internet,4.2,26,3,App,Tech 1
TS-8182,Feb,Resolved,Landline,South,Medium,Service Outage,5.5,27.7,4.1,Retail,Tech 8
TS-8183,Mar,In Progress,TV,East,High,Dropped Calls,8.8,37.4,2.7,Phone,Tech 15
TS-8184,Apr,Open,Mobile,West,Low,Billing Error,8.1,31.1,3.8,Web,Tech 4
TS-8185,May,Resolved,Broadband,North,Medium,No Signal,9.399999999999999,32.8,4.9,App,Tech 11
TS-8186,Jun,In Progress,Landline,South,High,Installation Delay,12.7,42.5,3.5,Retail,Tech 18
TS-8187,Jul,Open,TV,East,Low,Slow Internet,12,36.2,4.6,Phone,Tech 7
TS-8188,Aug,Resolved,Mobile,West,Medium,Service Outage,13.299999999999999,37.9,3.2,Web,Tech 14
TS-8189,Sep,In Progress,Broadband,North,High,Dropped Calls,16.6,47.6,4.3,App,Tech 3
TS-8190,Oct,Open,Landline,South,Low,Billing Error,15.899999999999999,41.3,2.9,Retail,Tech 10
TS-8191,Nov,Open,TV,East,Medium,No Signal,17.2,43,4,Phone,Tech 17
TS-8192,Dec,Resolved,Mobile,West,High,Installation Delay,20.5,52.7,2.6,Web,Tech 6
TS-8193,Jan,In Progress,Broadband,North,Low,Slow Internet,19.8,46.4,3.7,App,Tech 13
TS-8194,Feb,Open,Landline,South,Medium,Service Outage,21.099999999999998,48.1,4.8,Retail,Tech 2
TS-8195,Mar,Resolved,TV,East,High,Dropped Calls,3.4,57.8,3.4,Phone,Tech 9
TS-8196,Apr,In Progress,Mobile,West,Low,Billing Error,2.7,51.5,4.5,Web,Tech 16
TS-8197,May,Open,Broadband,North,Medium,No Signal,4,53.2,3.1,App,Tech 5
TS-8198,Jun,Resolved,Landline,South,High,Installation Delay,7.3,62.9,4.2,Retail,Tech 12
TS-8199,Jul,In Progress,TV,East,Low,Slow Internet,6.6000000000000005,56.6,2.8,Phone,Tech 1
TS-8200,Aug,Open,Mobile,West,Medium,Service Outage,7.9,58.3,3.9,Web,Tech 8
TS-8201,Sep,Resolved,Broadband,North,High,Dropped Calls,11.2,68,2.5,App,Tech 15
TS-8202,Oct,In Progress,Landline,South,Low,Billing Error,10.5,61.7,3.6,Retail,Tech 4
TS-8203,Nov,Open,TV,East,Medium,No Signal,11.799999999999999,63.4,4.7,Phone,Tech 11
TS-8204,Dec,Resolved,Mobile,West,High,Installation Delay,15.1,73.1,3.3,Web,Tech 18
TS-8205,Jan,In Progress,Broadband,North,Low,Slow Internet,14.399999999999999,66.8,4.4,App,Tech 7
TS-8206,Feb,Open,Landline,South,Medium,Service Outage,15.7,68.5,3,Retail,Tech 14
TS-8207,Mar,Resolved,TV,East,High,Dropped Calls,19,78.2,4.1,Phone,Tech 3
TS-8208,Apr,In Progress,Mobile,West,Low,Billing Error,18.3,71.9,2.7,Web,Tech 10
TS-8209,May,Open,Broadband,North,Medium,No Signal,19.599999999999998,73.6,3.8,App,Tech 17
TS-8210,Jun,Open,Landline,South,High,Installation Delay,22.9,83.3,4.9,Retail,Tech 6
TS-8211,Jul,Resolved,TV,East,Low,Slow Internet,1.2,77,3.5,Phone,Tech 13
TS-8212,Aug,In Progress,Mobile,West,Medium,Service Outage,2.5,78.7,4.6,Web,Tech 2
TS-8213,Sep,Open,Broadband,North,High,Dropped Calls,5.8,88.4,3.2,App,Tech 9
TS-8214,Oct,Resolved,Landline,South,Low,Billing Error,5.1,82.1,4.3,Retail,Tech 16
TS-8215,Nov,In Progress,TV,East,Medium,No Signal,6.4,83.8,2.9,Phone,Tech 5
TS-8216,Dec,Open,Mobile,West,High,Installation Delay,9.7,93.5,4,Web,Tech 12
TS-8217,Jan,Resolved,Broadband,North,Low,Slow Internet,9,87.2,2.6,App,Tech 1
TS-8218,Feb,In Progress,Landline,South,Medium,Service Outage,10.299999999999999,88.9,3.7,Retail,Tech 8
TS-8219,Mar,Open,TV,East,High,Dropped Calls,13.6,98.6,4.8,Phone,Tech 15
TS-8220,Apr,Resolved,Mobile,West,Low,Billing Error,12.899999999999999,92.3,3.4,Web,Tech 4
TS-8221,May,In Progress,Broadband,North,Medium,No Signal,14.2,94,4.5,App,Tech 11
TS-8222,Jun,Open,Landline,South,High,Installation Delay,17.5,103.7,3.1,Retail,Tech 18
TS-8223,Jul,Resolved,TV,East,Low,Slow Internet,16.8,97.4,4.2,Phone,Tech 7
TS-8224,Aug,In Progress,Mobile,West,Medium,Service Outage,18.099999999999998,99.1,2.8,Web,Tech 14
TS-8225,Sep,Open,Broadband,North,High,Dropped Calls,21.4,108.8,3.9,App,Tech 3
TS-8226,Oct,Resolved,Landline,South,Low,Billing Error,20.7,102.5,2.5,Retail,Tech 10
TS-8227,Nov,In Progress,TV,East,Medium,No Signal,22,8.2,3.6,Phone,Tech 17
TS-8228,Dec,Open,Mobile,West,High,Installation Delay,4.3,17.9,4.7,Web,Tech 6
TS-8229,Jan,Open,Broadband,North,Low,Slow Internet,3.5999999999999996,11.6,3.3,App,Tech 13
TS-8230,Feb,Resolved,Landline,South,Medium,Service Outage,4.9,13.3,4.4,Retail,Tech 2
TS-8231,Mar,In Progress,TV,East,High,Dropped Calls,8.2,23,3,Phone,Tech 9
TS-8232,Apr,Open,Mobile,West,Low,Billing Error,7.5,16.7,4.1,Web,Tech 16
TS-8233,May,Resolved,Broadband,North,Medium,No Signal,8.799999999999999,18.4,2.7,App,Tech 5
TS-8234,Jun,In Progress,Landline,South,High,Installation Delay,12.1,28.1,3.8,Retail,Tech 12
TS-8235,Jul,Open,TV,East,Low,Slow Internet,11.399999999999999,21.8,4.9,Phone,Tech 1
TS-8236,Aug,Resolved,Mobile,West,Medium,Service Outage,12.7,23.5,3.5,Web,Tech 8
TS-8237,Sep,In Progress,Broadband,North,High,Dropped Calls,16,33.2,4.6,App,Tech 15
TS-8238,Oct,Open,Landline,South,Low,Billing Error,15.299999999999999,26.9,3.2,Retail,Tech 4
TS-8239,Nov,Resolved,TV,East,Medium,No Signal,16.6,28.6,4.3,Phone,Tech 11
TS-8240,Dec,In Progress,Mobile,West,High,Installation Delay,19.9,38.3,2.9,Web,Tech 18
TS-8241,Jan,Open,Broadband,North,Low,Slow Internet,19.2,32,4,App,Tech 7
TS-8242,Feb,Resolved,Landline,South,Medium,Service Outage,20.5,33.7,2.6,Retail,Tech 14
TS-8243,Mar,In Progress,TV,East,High,Dropped Calls,23.8,43.4,3.7,Phone,Tech 3
TS-8244,Apr,Open,Mobile,West,Low,Billing Error,2.1,37.1,4.8,Web,Tech 10
TS-8245,May,Resolved,Broadband,North,Medium,No Signal,3.4000000000000004,38.8,3.4,App,Tech 17
TS-8246,Jun,In Progress,Landline,South,High,Installation Delay,6.7,48.5,4.5,Retail,Tech 6
TS-8247,Jul,Open,TV,East,Low,Slow Internet,6,42.2,3.1,Phone,Tech 13
TS-8248,Aug,Open,Mobile,West,Medium,Service Outage,7.3,43.9,4.2,Web,Tech 2
TS-8249,Sep,Resolved,Broadband,North,High,Dropped Calls,10.6,53.6,2.8,App,Tech 9
TS-8250,Oct,In Progress,Landline,South,Low,Billing Error,9.899999999999999,47.3,3.9,Retail,Tech 16
TS-8251,Nov,Open,TV,East,Medium,No Signal,11.2,49,2.5,Phone,Tech 5
TS-8252,Dec,Resolved,Mobile,West,High,Installation Delay,14.5,58.7,3.6,Web,Tech 12
TS-8253,Jan,In Progress,Broadband,North,Low,Slow Internet,13.799999999999999,52.4,4.7,App,Tech 1
TS-8254,Feb,Open,Landline,South,Medium,Service Outage,15.1,54.1,3.3,Retail,Tech 8
TS-8255,Mar,Resolved,TV,East,High,Dropped Calls,18.4,63.8,4.4,Phone,Tech 15
TS-8256,Apr,In Progress,Mobile,West,Low,Billing Error,17.7,57.5,3,Web,Tech 4
TS-8257,May,Open,Broadband,North,Medium,No Signal,19,59.2,4.1,App,Tech 11
TS-8258,Jun,Resolved,Landline,South,High,Installation Delay,22.3,68.9,2.7,Retail,Tech 18
TS-8259,Jul,In Progress,TV,East,Low,Slow Internet,21.599999999999998,62.6,3.8,Phone,Tech 7
TS-8260,Aug,Open,Mobile,West,Medium,Service Outage,1.9,64.3,4.9,Web,Tech 14
TS-8261,Sep,Resolved,Broadband,North,High,Dropped Calls,5.2,74,3.5,App,Tech 3
TS-8262,Oct,In Progress,Landline,South,Low,Billing Error,4.5,67.7,4.6,Retail,Tech 10
TS-8263,Nov,Open,TV,East,Medium,No Signal,5.8,69.4,3.2,Phone,Tech 17
TS-8264,Dec,Resolved,Mobile,West,High,Installation Delay,9.100000000000001,79.1,4.3,Web,Tech 6
TS-8265,Jan,In Progress,Broadband,North,Low,Slow Internet,8.4,72.8,2.9,App,Tech 13
TS-8266,Feb,Open,Landline,South,Medium,Service Outage,9.7,74.5,4,Retail,Tech 2
TS-8267,Mar,Open,TV,East,High,Dropped Calls,13,84.2,2.6,Phone,Tech 9
TS-8268,Apr,Resolved,Mobile,West,Low,Billing Error,12.299999999999999,77.9,3.7,Web,Tech 16
TS-8269,May,In Progress,Broadband,North,Medium,No Signal,13.6,79.6,4.8,App,Tech 5
