Employee_ID,Department,Location,Tenure_Years,Performance_Rating,Training_Hours,Engagement_Score,Attrition
EMP-3041,Sales,Remote,3.3,1,28,58,Yes
EMP-3042,Technology,Central,3.7,3,37,71,No
EMP-3043,Technology,East,4,5,46,84,No
EMP-3044,Technology,West,4.4,2,55,97,No
EMP-3045,Technology,Remote,4.8,4,8,59,No
EMP-3046,Finance,Central,5.1,1,17,72,No
EMP-3047,Finance,East,5.5,3,26,85,No
EMP-3048,HR,West,5.9,5,35,98,No
EMP-3049,Operations,Remote,6.3,2,44,60,Yes
EMP-3050,Operations,Central,6.6,4,53,73,No
EMP-3051,Sales,East,7,1,6,86,No
EMP-3052,Sales,West,7.4,3,15,48,No
EMP-3053,Sales,Remote,7.7,5,24,61,No
EMP-3054,Technology,Central,8.1,2,33,74,No
EMP-3055,Technology,East,8.5,4,42,87,No
EMP-3056,Technology,West,8.9,1,51,49,No
EMP-3057,Technology,Remote,9.2,3,4,62,No
EMP-3058,Finance,Central,9.6,5,13,75,No
EMP-3059,Finance,East,10,2,22,88,No
EMP-3060,HR,West,10.3,4,31,50,No
EMP-3061,Operations,Remote,10.7,1,40,63,Yes
EMP-3062,Operations,Central,11.1,3,49,76,No
EMP-3063,Sales,East,11.4,5,58,89,No
EMP-3064,Sales,West,11.8,2,11,51,No
EMP-3065,Sales,Remote,12.2,4,20,64,No
EMP-3066,Technology,Central,0.6,1,29,77,No
EMP-3067,Technology,East,0.9,3,38,90,No
EMP-3068,Technology,West,1.3,5,47,52,Yes
EMP-3069,Technology,Remote,1.7,2,56,65,Yes
EMP-3070,Finance,Central,2,4,9,78,No
EMP-3071,Finance,East,2.4,1,18,91,No
EMP-3072,HR,West,2.8,3,27,53,No
EMP-3073,Operations,Remote,3.1,5,36,66,No
EMP-3074,Operations,Central,3.5,2,45,79,No
EMP-3075,Sales,East,3.9,4,54,92,No
EMP-3076,Sales,West,4.3,1,7,54,No
EMP-3077,Sales,Remote,4.6,3,16,67,No
EMP-3078,Technology,Central,5,5,25,80,No
EMP-3079,Technology,East,5.4,2,34,93,No
EMP-3080,Technology,West,5.7,4,43,55,No
EMP-3081,Technology,Remote,6.1,1,52,68,Yes
EMP-3082,Finance,Central,6.5,3,5,81,No
EMP-3083,Finance,East,6.8,5,14,94,No
EMP-3084,HR,West,7.2,2,23,56,No
EMP-3085,Operations,Remote,7.6,4,32,69,No
EMP-3086,Operations,Central,7.9,1,41,82,No
EMP-3087,Sales,East,8.3,3,50,95,No
EMP-3088,Sales,West,8.7,5,59,57,No
EMP-3089,Sales,Remote,9.1,2,12,70,Yes
EMP-3090,Technology,Central,9.4,4,21,83,No
EMP-3091,Technology,East,9.8,1,30,96,No
EMP-3092,Technology,West,10.2,3,39,58,No
EMP-3093,Technology,Remote,10.5,5,48,71,No
EMP-3094,Finance,Central,10.9,2,57,84,No
EMP-3095,Finance,East,11.3,4,10,97,No
EMP-3096,HR,West,11.6,1,19,59,No
EMP-3097,Operations,Remote,12,3,28,72,No
EMP-3098,Operations,Central,12.4,5,37,85,No
EMP-3099,Sales,East,0.8,2,46,98,No
EMP-3100,Sales,West,1.1,4,55,60,Yes
EMP-3101,Sales,Remote,1.5,1,8,73,Yes
EMP-3102,Technology,Central,1.9,3,17,86,No
EMP-3103,Technology,East,2.2,5,26,48,No
EMP-3104,Technology,West,2.6,2,35,61,No
EMP-3105,Technology,Remote,3,4,44,74,No
EMP-3106,Finance,Central,3.4,1,53,87,No
EMP-3107,Finance,East,3.7,3,6,49,No
EMP-3108,HR,West,4.1,5,15,62,No
EMP-3109,Operations,Remote,4.5,2,24,75,Yes
EMP-3110,Operations,Central,4.8,4,33,88,No
EMP-3111,Sales,East,5.2,1,42,50,No
EMP-3112,Sales,West,5.6,3,51,63,No
EMP-3113,Sales,Remote,5.9,5,4,76,No
EMP-3114,Technology,Central,6.3,2,13,89,No
EMP-3115,Technology,East,6.7,4,22,51,No
EMP-3116,Technology,West,7,1,31,64,No
EMP-3117,Technology,Remote,7.4,3,40,77,No
EMP-3118,Finance,Central,7.8,5,49,90,No
EMP-3119,Finance,East,8.2,2,58,52,No
EMP-3120,HR,West,8.5,4,11,65,No
EMP-3121,Operations,Remote,8.9,1,20,78,Yes
EMP-3122,Operations,Central,9.3,3,29,91,No
EMP-3123,Sales,East,9.6,5,38,53,No
EMP-3124,Sales,West,10,2,47,66,No
EMP-3125,Sales,Remote,10.4,4,56,79,No
EMP-3126,Technology,Central,10.8,1,9,92,No
EMP-3127,Technology,East,11.1,3,18,54,No
EMP-3128,Technology,West,11.5,5,27,67,No
EMP-3129,Technology,Remote,11.9,2,36,80,Yes
EMP-3130,Finance,Central,12.2,4,45,93,No
EMP-3131,Finance,East,0.6,1,54,55,Yes
EMP-3132,HR,West,1,3,7,68,No
EMP-3133,Operations,Remote,1.3,5,16,81,No
EMP-3134,Operations,Central,1.7,2,25,94,No
EMP-3135,Sales,East,2.1,4,34,56,No
EMP-3136,Sales,West,2.5,1,43,69,No
EMP-3137,Sales,Remote,2.8,3,52,82,No
EMP-3138,Technology,Central,3.2,5,5,95,No
EMP-3139,Technology,East,3.6,2,14,57,No
EMP-3140,Technology,West,3.9,4,23,70,No
EMP-3141,Technology,Remote,4.3,1,32,83,Yes
EMP-3142,Finance,Central,4.7,3,41,96,No
EMP-3143,Finance,East,5,5,50,58,No
EMP-3144,HR,West,5.4,2,59,71,No
EMP-3145,Operations,Remote,5.8,4,12,84,No
EMP-3146,Operations,Central,6.1,1,21,97,No
EMP-3147,Sales,East,6.5,3,30,59,No
EMP-3148,Sales,West,6.9,5,39,72,No
EMP-3149,Sales,Remote,7.3,2,48,85,Yes
EMP-3150,Technology,Central,7.6,4,57,98,No
EMP-3151,Technology,East,8,1,10,60,No
EMP-3152,Technology,West,8.4,3,19,73,No
EMP-3153,Technology,Remote,8.7,5,28,86,No
EMP-3154,Finance,Central,9.1,2,37,48,No
EMP-3155,Finance,East,9.5,4,46,61,No
EMP-3156,HR,West,9.9,1,55,74,No
EMP-3157,Operations,Remote,10.2,3,8,87,No
EMP-3158,Operations,Central,10.6,5,17,49,No
EMP-3159,Sales,East,11,2,26,62,No
EMP-3160,Sales,West,11.3,4,35,75,No
EMP-3161,Sales,Remote,11.7,1,44,88,Yes
EMP-3162,Technology,Central,12.1,3,53,50,No
EMP-3163,Technology,East,12.4,5,6,63,No
EMP-3164,Technology,West,0.8,2,15,76,No
EMP-3165,Technology,Remote,1.2,4,24,89,No
