Month,Service_Type,Plan_Type,Subscribers,New_Subscribers,Disconnects,Revenue,Expenses,CAPEX,Text_Utilization,Voice_Utilization,Data_Utilization
Sep 2025,Mobile,5 GB + Tethering,1061,375,96,74270,11140.5,16339.4,0.26,0.4,0.28
Sep 2025,Broadband,5 GB,999,325,80,69930,10489.5,15384.6,0.41000000000000003,0.39,0.35000000000000003
Sep 2025,Broadband,500 MB,1052,356,91,77848,11677.199999999999,17905.039999999997,0.43000000000000005,0.4,0.39
Sep 2025,Broadband,2 GB,1105,387,102,86190,12928.5,20685.6,0.45,0.41000000000000003,0.43000000000000005
Sep 2025,Broadband,5 GB + Tethering,1158,418,113,94956,14243.4,14243.4,0.27,0.42000000000000004,0.29000000000000004
Sep 2025,Voice,5 GB,1096,368,97,89872,13480.8,13480.8,0.42000000000000004,0.41000000000000003,0.36000000000000004
Sep 2025,Voice,500 MB,1149,399,108,98814,14822.099999999999,15810.24,0.44,0.42000000000000004,0.4
Sep 2025,Voice,2 GB,1202,430,119,108180,16227,18390.6,0.26,0.43000000000000005,0.44000000000000006
Sep 2025,Voice,5 GB + Tethering,1255,461,35,117970,17695.5,21234.6,0.28,0.44000000000000006,0.30000000000000004
Oct 2025,Mobile,5 GB,963,353,82,55854,6702.48,8936.64,0.27,0.42000000000000004,0.37
Oct 2025,Mobile,500 MB,1016,384,93,62992,7559.04,10708.64,0.29000000000000004,0.43000000000000005,0.41000000000000003
Oct 2025,Mobile,2 GB,1069,415,104,70554,8466.48,12699.72,0.31,0.44000000000000006,0.45000000000000007
Oct 2025,Mobile,5 GB + Tethering,1122,446,115,78540,9424.8,14922.6,0.33,0.45,0.31000000000000005
Oct 2025,Broadband,5 GB,1060,396,99,74200,8904,14098,0.28,0.44000000000000006,0.38
Oct 2025,Broadband,500 MB,1113,427,110,82362,9883.44,16472.4,0.3,0.45,0.42000000000000004
Oct 2025,Broadband,2 GB,1166,458,26,90948,10913.76,19099.079999999998,0.32,0.27,0.28
Oct 2025,Broadband,5 GB + Tethering,1219,489,37,99958,11994.96,21990.76,0.34,0.28,0.32
Oct 2025,Voice,5 GB,1157,439,116,94874,11384.88,20872.28,0.29000000000000004,0.27,0.39
Oct 2025,Voice,500 MB,1210,470,32,104060,12487.199999999999,23933.8,0.31,0.28,0.43000000000000005
Oct 2025,Voice,2 GB,1263,501,43,113670,13640.4,27280.8,0.33,0.29000000000000004,0.29000000000000004
Oct 2025,Voice,5 GB + Tethering,1316,532,54,123704,14844.48,18555.6,0.35,0.30000000000000004,0.33
Nov 2025,Mobile,5 GB,1024,424,101,59392,8017.92,13660.16,0.34,0.28,0.4
Nov 2025,Mobile,500 MB,1077,455,112,66774,9014.49,16025.76,0.36,0.29000000000000004,0.44000000000000006
Nov 2025,Mobile,2 GB,1130,486,28,74580,10068.300000000001,11187,0.38,0.30000000000000004,0.30000000000000004
Nov 2025,Mobile,5 GB + Tethering,1183,517,39,82810,11179.35,13249.6,0.4,0.31,0.34
Nov 2025,Broadband,5 GB,1121,467,118,78470,10593.45,12555.2,0.35,0.30000000000000004,0.41000000000000003
Nov 2025,Broadband,500 MB,1174,498,34,86876,11728.26,14768.919999999998,0.37,0.31,0.45000000000000007
Nov 2025,Broadband,2 GB,1227,529,45,95706,12920.310000000001,17227.079999999998,0.39,0.32,0.31000000000000005
Nov 2025,Broadband,5 GB + Tethering,1280,150,56,104960,14169.6,19942.4,0.41000000000000003,0.33,0.35000000000000003
Nov 2025,Voice,5 GB,1218,510,40,99876,13483.26,18976.44,0.36,0.32,0.42000000000000004
Nov 2025,Voice,500 MB,1271,541,51,109306,14756.310000000001,21861.2,0.38,0.33,0.28
Nov 2025,Voice,2 GB,1324,162,62,119160,16086.6,25023.6,0.4,0.34,0.32
Nov 2025,Voice,5 GB + Tethering,1377,193,73,129438,17474.13,28476.36,0.42000000000000004,0.35000000000000003,0.36000000000000004
Dec 2025,Mobile,5 GB,1085,495,25,62930,9439.5,12586,0.41000000000000003,0.33,0.43000000000000005
Dec 2025,Mobile,500 MB,1138,526,36,70556,10583.4,14816.76,0.43000000000000005,0.34,0.29000000000000004
Dec 2025,Mobile,2 GB,1191,147,47,78606,11790.9,17293.32,0.45,0.35000000000000003,0.33
Dec 2025,Mobile,5 GB + Tethering,1244,178,58,87080,13062,20028.399999999998,0.27,0.36,0.37
Dec 2025,Broadband,5 GB,1182,538,42,82740,12411,19030.199999999997,0.42000000000000004,0.35000000000000003,0.44000000000000006
Dec 2025,Broadband,500 MB,1235,159,53,91390,13708.5,21933.6,0.44,0.36,0.30000000000000004
Dec 2025,Broadband,2 GB,1288,190,64,100464,15069.599999999999,15069.599999999999,0.26,0.37,0.34
Dec 2025,Broadband,5 GB + Tethering,1341,221,75,109962,16494.3,17593.920000000002,0.28,0.38,0.38
Dec 2025,Voice,5 GB,1279,171,59,104878,15731.699999999999,16780.48,0.43000000000000005,0.37,0.45000000000000007
Dec 2025,Voice,500 MB,1332,202,70,114552,17182.8,19473.839999999997,0.45,0.38,0.31000000000000005
Dec 2025,Voice,2 GB,1385,233,81,124650,18697.5,22437,0.27,0.39,0.35000000000000003
Dec 2025,Voice,5 GB + Tethering,1438,264,92,135172,20275.8,25682.68,0.29000000000000004,0.4,0.39
