Shipment_ID,Ship_Date,Region,Supplier,Category,Ordered_Units,Delivered_Units,Forecast_Units,Planned_Days,Actual_Days,On_Time,Fill_Rate,Absolute_Forecast_Error,Freight_Cost
SHP-5024,2025-12-27,East,Supplier H,Industrial,91,84,73,6,7,No,0.9230769230769231,11,2329
SHP-5025,2025-01-07,West,Supplier A,Consumer,128,104,128,7,11,No,0.8125,24,2412
SHP-5026,2025-02-14,South,Supplier F,Electronics,165,124,183,3,5,No,0.7515151515151515,59,2495
SHP-5027,2025-03-21,Central,Supplier K,Medical,202,192,238,4,4,Yes,0.9504950495049505,46,2578
SHP-5028,2025-04-01,East,Supplier D,Network,239,212,293,5,5,Yes,0.8870292887029289,81,2661
SHP-5029,2025-05-08,West,Supplier I,Industrial,276,232,222,6,4,Yes,0.8405797101449275,10,2744
SHP-5030,2025-06-15,South,Supplier B,Consumer,313,300,277,7,5,Yes,0.9584664536741214,23,2827
SHP-5031,2025-07-22,Central,Supplier G,Electronics,350,320,332,3,6,No,0.9142857142857143,12,2910
SHP-5032,2025-08-02,East,Supplier L,Medical,387,340,387,4,5,No,0.8785529715762274,47,2993
SHP-5033,2025-09-09,West,Supplier E,Network,424,408,442,5,6,No,0.9622641509433962,34,476
SHP-5034,2025-10-16,South,Supplier J,Industrial,461,428,497,6,5,Yes,0.928416485900217,69,559
SHP-5035,2025-11-23,Central,Supplier C,Consumer,498,496,552,7,6,Yes,0.9959839357429718,56,642
SHP-5036,2025-12-03,East,Supplier H,Electronics,115,96,61,3,7,No,0.8347826086956521,35,725
SHP-5037,2025-01-10,West,Supplier A,Medical,152,116,116,4,4,Yes,0.7631578947368421,0,808
SHP-5038,2025-02-17,South,Supplier F,Network,189,184,171,5,3,Yes,0.9735449735449735,13,891
SHP-5039,2025-03-24,Central,Supplier K,Industrial,226,204,226,6,9,No,0.9026548672566371,22,974
SHP-5040,2025-04-04,East,Supplier D,Consumer,263,224,281,7,10,No,0.8517110266159695,57,1057
SHP-5041,2025-05-11,West,Supplier I,Electronics,300,292,336,3,4,No,0.9733333333333334,44,1140
SHP-5042,2025-06-18,South,Supplier B,Medical,337,312,391,4,5,No,0.9258160237388724,79,1223
SHP-5043,2025-07-25,Central,Supplier G,Network,374,332,320,5,4,Yes,0.8877005347593583,12,1306
SHP-5044,2025-08-05,East,Supplier L,Industrial,411,400,375,6,10,No,0.9732360097323601,25,1389
SHP-5045,2025-09-12,West,Supplier E,Consumer,448,420,430,7,11,No,0.9375,10,1472
SHP-5046,2025-10-19,South,Supplier J,Electronics,485,440,485,3,5,No,0.9072164948453608,45,1555
SHP-5047,2025-11-26,Central,Supplier C,Medical,102,88,120,4,6,No,0.8627450980392157,32,1638
SHP-5048,2025-12-06,East,Supplier H,Network,139,108,175,5,5,Yes,0.7769784172661871,67,1721
SHP-5049,2025-01-13,West,Supplier A,Industrial,176,176,230,6,9,No,1,54,1804
SHP-5050,2025-02-20,South,Supplier F,Consumer,213,196,159,7,8,No,0.92018779342723,37,1887
SHP-5051,2025-03-27,Central,Supplier K,Electronics,250,216,214,3,2,Yes,0.864,2,1970
SHP-5052,2025-04-07,East,Supplier D,Medical,287,284,269,4,3,Yes,0.9895470383275261,15,2053
SHP-5053,2025-05-14,West,Supplier I,Network,324,304,324,5,9,No,0.9382716049382716,20,2136
SHP-5054,2025-06-21,South,Supplier B,Industrial,361,324,379,6,10,No,0.8975069252077562,55,2219
SHP-5055,2025-07-01,Central,Supplier G,Consumer,398,392,434,7,9,No,0.9849246231155779,42,2302
SHP-5056,2025-08-08,East,Supplier L,Electronics,435,412,489,3,3,Yes,0.9471264367816092,77,2385
SHP-5057,2025-09-15,West,Supplier E,Medical,472,432,418,4,4,Yes,0.9152542372881356,14,2468
SHP-5058,2025-10-22,South,Supplier J,Network,89,80,53,5,3,Yes,0.898876404494382,27,2551
SHP-5059,2025-11-02,Central,Supplier C,Industrial,126,100,108,6,4,Yes,0.7936507936507936,8,2634
SHP-5060,2025-12-09,East,Supplier H,Consumer,163,120,163,7,10,No,0.7361963190184049,43,2717
SHP-5061,2025-01-16,West,Supplier A,Electronics,200,188,218,3,2,Yes,0.94,30,2800
SHP-5062,2025-02-23,South,Supplier F,Medical,237,208,273,4,8,No,0.8776371308016878,65,2883
SHP-5063,2025-03-03,Central,Supplier K,Network,274,228,328,5,7,No,0.8321167883211679,100,2966
SHP-5064,2025-04-10,East,Supplier D,Industrial,311,296,257,6,8,No,0.9517684887459807,39,449
SHP-5065,2025-05-17,West,Supplier I,Consumer,348,316,312,7,7,Yes,0.9080459770114943,4,532
SHP-5066,2025-06-24,South,Supplier B,Electronics,385,384,367,3,3,Yes,0.9974025974025974,17,615
SHP-5067,2025-07-04,Central,Supplier G,Medical,422,404,422,4,2,Yes,0.957345971563981,18,698
SHP-5068,2025-08-11,East,Supplier L,Network,459,424,477,5,8,No,0.9237472766884531,53,781
SHP-5069,2025-09-18,West,Supplier E,Industrial,496,492,532,6,9,No,0.9919354838709677,40,864
SHP-5070,2025-10-25,South,Supplier J,Consumer,113,92,167,7,8,No,0.8141592920353983,75,947
SHP-5071,2025-11-05,Central,Supplier C,Electronics,150,112,96,3,4,No,0.7466666666666667,16,1030
SHP-5072,2025-12-12,East,Supplier H,Medical,187,180,151,4,3,Yes,0.9625668449197861,29,1113
SHP-5073,2025-01-19,West,Supplier A,Network,224,200,206,5,7,No,0.8928571428571429,6,1196
SHP-5074,2025-02-26,South,Supplier F,Industrial,261,220,261,6,6,Yes,0.842911877394636,41,1279
SHP-5075,2025-03-06,Central,Supplier K,Consumer,298,288,316,7,5,Yes,0.9664429530201343,28,1362
SHP-5076,2025-04-13,East,Supplier D,Electronics,335,308,371,3,1,Yes,0.9194029850746268,63,1445
SHP-5077,2025-05-20,West,Supplier I,Medical,372,328,426,4,7,No,0.8817204301075269,98,1528
SHP-5078,2025-06-27,South,Supplier B,Network,409,396,355,5,8,No,0.9682151589242054,41,1611
SHP-5079,2025-07-07,Central,Supplier G,Industrial,446,416,410,6,7,No,0.9327354260089686,6,1694
SHP-5080,2025-08-14,East,Supplier L,Consumer,483,436,465,7,6,Yes,0.9026915113871635,29,1777
SHP-5081,2025-09-21,West,Supplier E,Electronics,100,84,100,3,2,Yes,0.84,16,1860
SHP-5082,2025-10-01,South,Supplier J,Medical,137,104,155,4,8,No,0.7591240875912408,51,1943
SHP-5083,2025-11-08,Central,Supplier C,Network,174,172,210,5,9,No,0.9885057471264368,38,2026
SHP-5084,2025-12-15,East,Supplier H,Industrial,211,192,265,6,8,No,0.909952606635071,73,2109
SHP-5085,2025-01-22,West,Supplier A,Consumer,248,212,194,7,5,Yes,0.8548387096774194,18,2192
SHP-5086,2025-02-02,South,Supplier F,Electronics,285,280,249,3,6,No,0.9824561403508771,31,2275
SHP-5087,2025-03-09,Central,Supplier K,Medical,322,300,304,4,5,No,0.9316770186335404,4,2358
SHP-5088,2025-04-16,East,Supplier D,Network,359,320,359,5,6,No,0.8913649025069638,39,2441
SHP-5089,2025-05-23,West,Supplier I,Industrial,396,388,414,6,5,Yes,0.9797979797979798,26,2524
SHP-5090,2025-06-03,South,Supplier B,Consumer,433,408,469,7,6,Yes,0.9422632794457275,61,2607
SHP-5091,2025-07-10,Central,Supplier G,Electronics,470,428,524,3,7,No,0.9106382978723404,96,2690
SHP-5092,2025-08-17,East,Supplier L,Medical,87,76,33,4,6,No,0.8735632183908046,43,2773
SHP-5093,2025-09-24,West,Supplier E,Network,124,96,88,5,7,No,0.7741935483870968,8,2856
SHP-5094,2025-10-04,South,Supplier J,Industrial,161,116,143,6,6,Yes,0.7204968944099379,27,2939
SHP-5095,2025-11-11,Central,Supplier C,Consumer,198,184,198,7,7,Yes,0.9292929292929293,14,422
SHP-5096,2025-12-18,East,Supplier H,Electronics,235,204,253,3,1,Yes,0.8680851063829788,49,505
SHP-5097,2025-01-25,West,Supplier A,Medical,272,272,308,4,5,No,1,36,588
SHP-5098,2025-02-05,South,Supplier F,Network,309,292,363,5,4,Yes,0.9449838187702265,71,671
SHP-5099,2025-03-12,Central,Supplier K,Industrial,346,312,292,6,10,No,0.9017341040462428,20,754
SHP-5100,2025-04-19,East,Supplier D,Consumer,383,380,347,7,11,No,0.9921671018276762,33,837
SHP-5101,2025-05-26,West,Supplier I,Electronics,420,400,402,3,5,No,0.9523809523809523,2,920
SHP-5102,2025-06-06,South,Supplier B,Medical,457,420,457,4,6,No,0.9190371991247265,37,1003
SHP-5103,2025-07-13,Central,Supplier G,Network,494,488,512,5,5,Yes,0.9878542510121457,24,1086
SHP-5104,2025-08-20,East,Supplier L,Industrial,111,88,147,6,4,Yes,0.7927927927927928,59,1169
SHP-5105,2025-09-27,West,Supplier E,Consumer,148,108,202,7,5,Yes,0.7297297297297297,94,1252
SHP-5106,2025-10-07,South,Supplier J,Electronics,185,176,131,3,6,No,0.9513513513513514,45,1335
SHP-5107,2025-11-14,Central,Supplier C,Medical,222,196,186,4,7,No,0.8828828828828829,10,1418
SHP-5108,2025-12-21,East,Supplier H,Network,259,216,241,5,6,No,0.833976833976834,25,1501
SHP-5109,2025-01-01,West,Supplier A,Industrial,296,284,296,6,10,No,0.9594594594594594,12,1584
SHP-5110,2025-02-08,South,Supplier F,Consumer,333,304,351,7,9,No,0.9129129129129129,47,1667
SHP-5111,2025-03-15,Central,Supplier K,Electronics,370,324,406,3,3,Yes,0.8756756756756757,82,1750
SHP-5112,2025-04-22,East,Supplier D,Medical,407,392,461,4,4,Yes,0.9631449631449631,69,1833
SHP-5113,2025-05-02,West,Supplier I,Network,444,412,390,5,3,Yes,0.9279279279279279,22,1916
SHP-5114,2025-06-09,South,Supplier B,Industrial,481,480,445,6,4,Yes,0.997920997920998,35,1999
SHP-5115,2025-07-16,Central,Supplier G,Consumer,98,80,80,7,10,No,0.8163265306122449,0,2082
SHP-5116,2025-08-23,East,Supplier L,Electronics,135,100,135,3,4,No,0.7407407407407407,35,2165
SHP-5117,2025-09-03,West,Supplier E,Medical,172,168,190,4,5,No,0.9767441860465116,22,2248
SHP-5118,2025-10-10,South,Supplier J,Network,209,188,245,5,4,Yes,0.8995215311004785,57,2331
SHP-5119,2025-11-17,Central,Supplier C,Industrial,246,208,300,6,5,Yes,0.8455284552845529,92,2414
SHP-5120,2025-12-24,East,Supplier H,Consumer,283,276,229,7,11,No,0.9752650176678446,47,2497
SHP-5121,2025-01-04,West,Supplier A,Electronics,320,296,284,3,3,Yes,0.925,12,2580
SHP-5122,2025-02-11,South,Supplier F,Medical,357,316,339,4,2,Yes,0.8851540616246498,23,2663
SHP-5123,2025-03-18,Central,Supplier K,Network,394,384,394,5,8,No,0.9746192893401016,10,2746
SHP-5124,2025-04-25,East,Supplier D,Industrial,431,404,449,6,9,No,0.9373549883990719,45,2829
SHP-5125,2025-05-05,West,Supplier I,Consumer,468,424,504,7,8,No,0.905982905982906,80,2912
SHP-5126,2025-06-12,South,Supplier B,Electronics,85,72,139,3,4,No,0.8470588235294118,67,2995
SHP-5127,2025-07-19,Central,Supplier G,Medical,122,92,68,4,3,Yes,0.7540983606557377,24,478
SHP-5128,2025-08-26,East,Supplier L,Network,159,112,123,5,9,No,0.7044025157232704,11,561
SHP-5129,2025-09-06,West,Supplier E,Industrial,196,180,178,6,10,No,0.9183673469387755,2,644
SHP-5130,2025-10-13,South,Supplier J,Consumer,233,200,233,7,9,No,0.8583690987124464,33,727
SHP-5131,2025-11-20,Central,Supplier C,Electronics,270,268,288,3,5,No,0.9925925925925926,20,810
SHP-5132,2025-12-27,East,Supplier H,Medical,307,288,343,4,4,Yes,0.9381107491856677,55,893
SHP-5133,2025-01-07,West,Supplier A,Network,344,308,398,5,8,No,0.8953488372093024,90,976
SHP-5134,2025-02-14,South,Supplier F,Industrial,381,376,327,6,7,No,0.9868766404199475,49,1059
SHP-5135,2025-03-21,Central,Supplier K,Consumer,418,396,382,7,6,Yes,0.9473684210526315,14,1142
SHP-5136,2025-04-01,East,Supplier D,Electronics,455,416,437,3,2,Yes,0.9142857142857143,21,1225
SHP-5137,2025-05-08,West,Supplier I,Medical,492,484,492,4,8,No,0.983739837398374,8,1308
SHP-5138,2025-06-15,South,Supplier B,Network,109,84,127,5,9,No,0.7706422018348624,43,1391
SHP-5139,2025-07-22,Central,Supplier G,Industrial,146,104,182,6,8,No,0.7123287671232876,78,1474
SHP-5140,2025-08-02,East,Supplier L,Consumer,183,172,237,7,7,Yes,0.9398907103825137,65,1557
SHP-5141,2025-09-09,West,Supplier E,Electronics,220,192,166,3,3,Yes,0.8727272727272727,26,1640
SHP-5142,2025-10-16,South,Supplier J,Medical,257,212,221,4,2,Yes,0.8249027237354085,9,1723
SHP-5143,2025-11-23,Central,Supplier C,Network,294,280,276,5,3,Yes,0.9523809523809523,4,1806
SHP-5144,2025-12-03,East,Supplier H,Industrial,331,300,331,6,9,No,0.9063444108761329,31,1889
SHP-5145,2025-01-10,West,Supplier A,Consumer,368,368,386,7,6,Yes,1,18,1972
SHP-5146,2025-02-17,South,Supplier F,Electronics,405,388,441,3,7,No,0.9580246913580247,53,2055
SHP-5147,2025-03-24,Central,Supplier K,Medical,442,408,496,4,6,No,0.9230769230769231,88,2138
SHP-5148,2025-04-04,East,Supplier D,Network,479,476,425,5,7,No,0.9937369519832986,51,2221
SHP-5149,2025-05-11,West,Supplier I,Industrial,96,76,60,6,6,Yes,0.7916666666666666,16,2304
SHP-5150,2025-06-18,South,Supplier B,Consumer,133,96,115,7,7,Yes,0.7218045112781954,19,2387
SHP-5151,2025-07-25,Central,Supplier G,Electronics,170,164,170,3,1,Yes,0.9647058823529412,6,2470
SHP-5152,2025-08-05,East,Supplier L,Medical,207,184,225,4,7,No,0.8888888888888888,41,2553
SHP-5153,2025-09-12,West,Supplier E,Network,244,204,280,5,8,No,0.8360655737704918,76,2636
SHP-5154,2025-10-19,South,Supplier J,Industrial,281,272,335,6,7,No,0.9679715302491103,63,2719
SHP-5155,2025-11-26,Central,Supplier C,Consumer,318,292,264,7,8,No,0.9182389937106918,28,2802
SHP-5156,2025-12-06,East,Supplier H,Electronics,355,312,319,3,2,Yes,0.8788732394366198,7,2885
SHP-5157,2025-01-13,West,Supplier A,Medical,392,380,374,4,6,No,0.9693877551020408,6,2968
SHP-5158,2025-02-20,South,Supplier F,Network,429,400,429,5,5,Yes,0.9324009324009324,29,451
SHP-5159,2025-03-27,Central,Supplier K,Industrial,466,420,484,6,4,Yes,0.9012875536480687,64,534
SHP-5160,2025-04-07,East,Supplier D,Consumer,83,68,119,7,5,Yes,0.8192771084337349,51,617
SHP-5161,2025-05-14,West,Supplier I,Electronics,120,88,174,3,6,No,0.7333333333333333,86,700
SHP-5162,2025-06-21,South,Supplier B,Medical,157,156,103,4,7,No,0.9936305732484076,53,783
SHP-5163,2025-07-01,Central,Supplier G,Network,194,176,158,5,6,No,0.9072164948453608,18,866
SHP-5164,2025-08-08,East,Supplier L,Industrial,231,196,213,6,5,Yes,0.8484848484848485,17,949
SHP-5165,2025-09-15,West,Supplier E,Consumer,268,264,268,7,6,Yes,0.9850746268656716,4,1032
SHP-5166,2025-10-22,South,Supplier J,Electronics,305,284,323,3,7,No,0.9311475409836065,39,1115
SHP-5167,2025-11-02,Central,Supplier C,Medical,342,304,378,4,8,No,0.8888888888888888,74,1198
SHP-5168,2025-12-09,East,Supplier H,Network,379,372,433,5,7,No,0.9815303430079155,61,1281
SHP-5169,2025-01-16,West,Supplier A,Industrial,416,392,362,6,4,Yes,0.9423076923076923,30,1364
SHP-5170,2025-02-23,South,Supplier F,Consumer,453,412,417,7,10,No,0.9094922737306843,5,1447
SHP-5171,2025-03-03,Central,Supplier K,Electronics,490,480,472,3,4,No,0.9795918367346939,8,1530
SHP-5172,2025-04-10,East,Supplier D,Medical,107,80,107,4,5,No,0.7476635514018691,27,1613
SHP-5173,2025-05-17,West,Supplier I,Network,144,100,162,5,4,Yes,0.6944444444444444,62,1696
SHP-5174,2025-06-24,South,Supplier B,Industrial,181,168,217,6,5,Yes,0.9281767955801105,49,1779
SHP-5175,2025-07-04,Central,Supplier G,Consumer,218,188,272,7,11,No,0.8623853211009175,84,1862
SHP-5176,2025-08-11,East,Supplier L,Electronics,255,208,201,3,5,No,0.8156862745098039,7,1945
SHP-5177,2025-09-18,West,Supplier E,Medical,292,276,256,4,6,No,0.9452054794520548,20,2028
SHP-5178,2025-10-25,South,Supplier J,Network,329,296,311,5,5,Yes,0.8996960486322189,15,2111
SHP-5179,2025-11-05,Central,Supplier C,Industrial,366,364,366,6,6,Yes,0.994535519125683,2,2194
SHP-5180,2025-12-12,East,Supplier H,Consumer,403,384,421,7,5,Yes,0.9528535980148883,37,2277
SHP-5181,2025-01-19,West,Supplier A,Electronics,440,404,476,3,4,No,0.9181818181818182,72,2360
SHP-5182,2025-02-26,South,Supplier F,Medical,477,472,531,4,3,Yes,0.989517819706499,59,2443
SHP-5183,2025-03-06,Central,Supplier K,Network,94,72,40,5,9,No,0.7659574468085106,32,2526
SHP-5184,2025-04-13,East,Supplier D,Industrial,131,92,95,6,10,No,0.7022900763358778,3,2609
SHP-5185,2025-05-20,West,Supplier I,Consumer,168,160,150,7,9,No,0.9523809523809523,10,2692
SHP-5186,2025-06-27,South,Supplier B,Electronics,205,180,205,3,5,No,0.8780487804878049,25,2775
SHP-5187,2025-07-07,Central,Supplier G,Medical,242,200,260,4,4,Yes,0.8264462809917356,60,2858
SHP-5188,2025-08-14,East,Supplier L,Network,279,268,315,5,3,Yes,0.9605734767025089,47,2941
SHP-5189,2025-09-21,West,Supplier E,Industrial,316,288,370,6,4,Yes,0.9113924050632911,82,424
SHP-5190,2025-10-01,South,Supplier J,Consumer,353,308,299,7,10,No,0.8725212464589235,9,507
SHP-5191,2025-11-08,Central,Supplier C,Electronics,390,376,354,3,6,No,0.9641025641025641,22,590
SHP-5192,2025-12-15,East,Supplier H,Medical,427,396,409,4,5,No,0.927400468384075,13,673
SHP-5193,2025-01-22,West,Supplier A,Network,464,464,464,5,9,No,1,0,756
SHP-5194,2025-02-02,South,Supplier F,Industrial,81,64,99,6,8,No,0.7901234567901234,35,839
SHP-5195,2025-03-09,Central,Supplier K,Consumer,118,84,154,7,7,Yes,0.711864406779661,70,922
SHP-5196,2025-04-16,East,Supplier D,Electronics,155,152,209,3,3,Yes,0.9806451612903225,57,1005
SHP-5197,2025-05-23,West,Supplier I,Medical,192,172,138,4,2,Yes,0.8958333333333334,34,1088
SHP-5198,2025-06-03,South,Supplier B,Network,229,192,193,5,3,Yes,0.8384279475982532,1,1171
SHP-5199,2025-07-10,Central,Supplier G,Industrial,266,260,248,6,9,No,0.9774436090225563,12,1254
SHP-5200,2025-08-17,East,Supplier L,Consumer,303,280,303,7,8,No,0.9240924092409241,23,1337
SHP-5201,2025-09-24,West,Supplier E,Electronics,340,300,358,3,4,No,0.8823529411764706,58,1420
SHP-5202,2025-10-04,South,Supplier J,Medical,377,368,413,4,3,Yes,0.9761273209549072,45,1503
SHP-5203,2025-11-11,Central,Supplier C,Network,414,388,468,5,4,Yes,0.9371980676328503,80,1586
SHP-5204,2025-12-18,East,Supplier H,Industrial,451,408,397,6,10,No,0.9046563192904656,11,1669
SHP-5205,2025-01-25,West,Supplier A,Consumer,488,476,452,7,7,Yes,0.9754098360655737,24,1752
SHP-5206,2025-02-05,South,Supplier F,Electronics,105,76,87,3,1,Yes,0.7238095238095238,11,1835
SHP-5207,2025-03-12,Central,Supplier K,Medical,142,96,142,4,7,No,0.676056338028169,46,1918
SHP-5208,2025-04-19,East,Supplier D,Network,179,164,197,5,8,No,0.9162011173184358,33,2001
SHP-5209,2025-05-26,West,Supplier I,Industrial,216,184,252,6,7,No,0.8518518518518519,68,2084
SHP-5210,2025-06-06,South,Supplier B,Consumer,253,252,307,7,8,No,0.9960474308300395,55,2167
SHP-5211,2025-07-13,Central,Supplier G,Electronics,290,272,236,3,2,Yes,0.9379310344827586,36,2250
SHP-5212,2025-08-20,East,Supplier L,Medical,327,292,291,4,8,No,0.8929663608562691,1,2333
SHP-5213,2025-09-27,West,Supplier E,Network,364,360,346,5,9,No,0.989010989010989,14,2416
SHP-5214,2025-10-07,South,Supplier J,Industrial,401,380,401,6,8,No,0.9476309226932669,21,2499
SHP-5215,2025-11-14,Central,Supplier C,Consumer,438,400,456,7,9,No,0.91324200913242,56,2582
SHP-5216,2025-12-21,East,Supplier H,Electronics,475,468,511,3,3,Yes,0.9852631578947368,43,2665
SHP-5217,2025-01-01,West,Supplier A,Medical,92,68,146,4,7,No,0.7391304347826086,78,2748
SHP-5218,2025-02-08,South,Supplier F,Network,129,88,75,5,6,No,0.6821705426356589,13,2831
SHP-5219,2025-03-15,Central,Supplier K,Industrial,166,156,130,6,5,Yes,0.9397590361445783,26,2914
SHP-5220,2025-04-22,East,Supplier D,Consumer,203,176,185,7,6,Yes,0.8669950738916257,9,2997
SHP-5221,2025-05-02,West,Supplier I,Electronics,240,196,240,3,7,No,0.8166666666666667,44,480
SHP-5222,2025-06-09,South,Supplier B,Medical,277,264,295,4,8,No,0.9530685920577617,31,563
SHP-5223,2025-07-16,Central,Supplier G,Network,314,284,350,5,7,No,0.9044585987261147,66,646
SHP-5224,2025-08-23,East,Supplier L,Industrial,351,304,405,6,6,Yes,0.8660968660968661,101,729
SHP-5225,2025-09-03,West,Supplier E,Consumer,388,372,334,7,7,Yes,0.9587628865979382,38,812
SHP-5226,2025-10-10,South,Supplier J,Electronics,425,392,389,3,1,Yes,0.9223529411764706,3,895
SHP-5227,2025-11-17,Central,Supplier C,Medical,462,460,444,4,2,Yes,0.9956709956709957,16,978
SHP-5228,2025-12-24,East,Supplier H,Network,499,480,499,5,8,No,0.9619238476953907,19,1061
SHP-5229,2025-01-04,West,Supplier A,Industrial,116,80,134,6,5,Yes,0.6896551724137931,54,1144
SHP-5230,2025-02-11,South,Supplier F,Consumer,153,148,189,7,11,No,0.9673202614379085,41,1227
SHP-5231,2025-03-18,Central,Supplier K,Electronics,190,168,244,3,5,No,0.8842105263157894,76,1310
SHP-5232,2025-04-25,East,Supplier D,Medical,227,188,173,4,6,No,0.8281938325991189,15,1393
SHP-5233,2025-05-05,West,Supplier I,Network,264,256,228,5,5,Yes,0.9696969696969697,28,1476
SHP-5234,2025-06-12,South,Supplier B,Industrial,301,276,283,6,6,Yes,0.9169435215946844,7,1559
SHP-5235,2025-07-19,Central,Supplier G,Consumer,338,296,338,7,5,Yes,0.8757396449704142,42,1642
SHP-5236,2025-08-26,East,Supplier L,Electronics,375,364,393,3,6,No,0.9706666666666667,29,1725
SHP-5237,2025-09-06,West,Supplier E,Medical,412,384,448,4,7,No,0.9320388349514563,64,1808
SHP-5238,2025-10-13,South,Supplier J,Network,449,404,503,5,6,No,0.8997772828507795,99,1891
SHP-5239,2025-11-20,Central,Supplier C,Industrial,486,472,432,6,7,No,0.9711934156378601,40,1974
SHP-5240,2025-12-27,East,Supplier H,Consumer,103,72,67,7,6,Yes,0.6990291262135923,5,2057
