Order_ID,Order_Date,Region,Segment,Category,Revenue,Cost,Units
ORD-1095,2025-11-10,Central,Consumer,Hardware,16062,12207,78
ORD-1096,2025-12-17,South,SMB,Services,17935,11658,19
ORD-1097,2025-01-24,West,Enterprise,Software,19808,15450,32
ORD-1098,2025-02-04,East,Consumer,Hardware,21681,14526,45
ORD-1099,2025-03-11,Central,SMB,Services,23554,13190,58
ORD-1100,2025-04-18,South,Enterprise,Software,6927,4780,71
ORD-1101,2025-05-25,West,Consumer,Hardware,8800,5104,12
ORD-1102,2025-06-05,East,SMB,Services,10673,7578,25
ORD-1103,2025-07-12,Central,Enterprise,Software,12546,7528,38
ORD-1104,2025-08-19,South,Consumer,Hardware,14419,10526,51
ORD-1105,2025-09-26,West,SMB,Services,16292,10101,64
ORD-1106,2025-10-06,East,Enterprise,Software,18165,13624,77
ORD-1107,2025-11-13,Central,Consumer,Hardware,20038,12824,18
ORD-1108,2025-12-20,South,SMB,Services,21911,16871,31
ORD-1109,2024-12-31,West,Enterprise,Software,23784,15697,44
ORD-1110,2025-02-07,East,Consumer,Hardware,7157,3936,57
ORD-1111,2025-03-14,Central,SMB,Services,9030,6140,70
ORD-1112,2025-04-21,South,Enterprise,Software,10903,6215,11
ORD-1113,2025-05-01,West,Consumer,Hardware,12776,8943,24
ORD-1114,2025-06-08,East,SMB,Services,14649,8643,37
ORD-1115,2025-07-15,Central,Enterprise,Software,16522,11896,50
ORD-1116,2025-08-22,South,Consumer,Hardware,18395,11221,63
ORD-1117,2025-09-02,West,SMB,Services,20268,14998,76
ORD-1118,2025-10-09,East,Enterprise,Software,22141,13949,17
ORD-1119,2025-11-16,Central,Consumer,Hardware,24014,18251,30
ORD-1120,2025-12-23,South,SMB,Services,7387,4802,43
ORD-1121,2025-01-03,West,Enterprise,Software,9260,7223,56
ORD-1122,2025-02-10,East,Consumer,Hardware,11133,7459,69
ORD-1123,2025-03-17,Central,SMB,Services,13006,7283,10
ORD-1124,2025-04-24,South,Enterprise,Software,14879,10267,23
ORD-1125,2025-05-04,West,Consumer,Hardware,16752,9716,36
ORD-1126,2025-06-11,East,SMB,Services,18625,13224,49
ORD-1127,2025-07-18,Central,Enterprise,Software,20498,12299,62
ORD-1128,2025-08-25,South,Consumer,Hardware,22371,16331,75
ORD-1129,2025-09-05,West,SMB,Services,24244,15031,16
ORD-1130,2025-10-12,East,Enterprise,Software,7617,5713,29
ORD-1131,2025-11-19,Central,Consumer,Hardware,9490,6074,42
ORD-1132,2025-12-26,South,SMB,Services,11363,8750,55
ORD-1133,2025-01-06,West,Enterprise,Software,13236,8736,68
ORD-1134,2025-02-13,East,Consumer,Hardware,15109,8310,9
ORD-1135,2025-03-20,Central,SMB,Services,16982,11548,22
ORD-1136,2025-03-31,South,Enterprise,Software,18855,10747,35
ORD-1137,2025-05-07,West,Consumer,Hardware,20728,14510,48
ORD-1138,2025-06-14,East,SMB,Services,22601,13335,61
ORD-1139,2025-07-21,Central,Enterprise,Software,24474,17621,74
ORD-1140,2025-08-01,South,Consumer,Hardware,7847,4787,15
ORD-1141,2025-09-08,West,SMB,Services,9720,7193,28
ORD-1142,2025-10-15,East,Enterprise,Software,11593,7304,41
ORD-1143,2025-11-22,Central,Consumer,Hardware,13466,10234,54
ORD-1144,2025-12-02,South,SMB,Services,15339,9970,67
